n,x_float,x_q10_hex,y_float,y_q13_hex
0,0.000000,000,0.000000,0000
1,0.375200,180,0.009644,004f
2,0.149214,099,0.011597,005f
3,-0.079125,faf,0.011719,0060
4,0.289052,128,0.024292,00c7
5,0.652671,29c,0.044678,016e
6,0.410728,1a5,0.060059,01ec
7,0.162308,0a6,0.076904,0276
8,0.506597,207,0.109863,0384
9,0.842896,35f,0.154297,04f0
10,0.570634,248,0.198120,0657
11,0.289372,128,0.247803,07ee
12,0.598816,265,0.318237,0a2f
13,0.898816,398,0.405151,0cf7
14,0.589372,25c,0.496338,0fe2
15,0.270634,115,0.598267,1325
16,0.542896,22c,0.725708,1739
17,0.806597,33a,0.874146,1bf9
18,0.462308,1d9,1.030884,20fd
19,0.110728,071,1.202148,2678
20,0.352671,169,1.401855,2cdc
21,0.589052,25b,1.624756,33fe
22,0.220875,0e2,1.857178,3b6e
23,-0.150786,f66,2.104370,4357
24,0.075200,04d,2.379150,4c22
25,0.300000,133,2.674927,5599
26,-0.075200,fb3,2.976685,5f41
27,-0.449214,e34,3.288208,6939
28,-0.220875,f1e,3.620850,73de
29,0.010948,00b,3.966431,7eed
30,-0.352671,e97,3.999878,7fff
31,-0.710728,d28,3.999878,7fff
32,-0.462308,e27,3.999878,7fff
33,-0.206597,f2c,3.999878,7fff
34,-0.542896,dd4,3.999878,7fff
35,-0.870634,c84,3.999878,7fff
36,-0.589372,da4,3.999878,7fff
37,-0.298816,ece,3.999878,7fff
38,-0.598816,d9b,3.999878,7fff
39,-0.889372,c71,3.999878,7fff
40,-0.570634,db8,3.999878,7fff
41,-0.242896,f07,3.999878,7fff
42,-0.506597,df9,3.999878,7fff
43,-0.762308,cf3,3.999878,7fff
44,-0.410728,e5b,3.999878,7fff
45,-0.052671,fca,3.999878,7fff
46,-0.289052,ed8,3.999878,7fff
47,-0.520875,deb,3.999878,7fff
48,-0.149214,f67,3.999878,7fff
49,0.224800,0e6,3.999878,7fff
50,-0.000000,000,3.999878,7fff
51,-0.224800,f1a,3.999878,7fff
52,0.149214,099,3.999878,7fff
53,0.520875,215,3.999878,7fff
54,0.289052,128,3.999878,7fff
55,0.052671,036,3.999878,7fff
56,0.410728,1a5,3.446655,6e4b
57,0.762308,30d,2.837402,5acc
58,0.506597,207,2.199463,4662
59,0.242896,0f9,1.545410,3174
60,0.570634,248,0.896362,1caf
61,0.889372,38f,0.254639,0826
62,0.598816,265,-0.385254,f3ac
63,0.298816,132,-1.010132,dfad
64,0.589372,25c,-1.598511,ccd9
65,0.870634,37c,-2.148315,bb41
66,0.542896,22c,-2.666016,aab0
67,0.206597,0d4,-3.139160,9b8c
68,0.462308,1d9,-3.548340,8e74
69,0.710728,2d8,-3.893311,836a
70,0.352671,169,-4.000000,8000
71,-0.010948,ff5,-4.000000,8000
72,0.220875,0e2,-4.000000,8000
73,0.449214,1cc,-4.000000,8000
74,0.075200,04d,-4.000000,8000
75,-0.300000,ecd,-4.000000,8000
76,-0.075200,fb3,-4.000000,8000
77,0.150786,09a,-4.000000,8000
78,-0.220875,f1e,-3.913574,82c4
79,-0.589052,da5,-3.580933,8d69
80,-0.352671,e97,-3.172852,9a78
81,-0.110728,f8f,-2.714844,a920
82,-0.462308,e27,-2.232910,b88c
83,-0.806597,cc6,-1.715820,c918
84,-0.542896,dd4,-1.152710,db1d
85,-0.270634,eeb,-0.571411,edb7
86,-0.589372,da4,0.000000,0000
87,-0.898816,c68,0.571411,1249
88,-0.598816,d9b,1.152710,24e3
89,-0.289372,ed8,1.715820,36e8
90,-0.570634,db8,2.232910,4774
91,-0.842896,ca1,2.714844,56e0
92,-0.506597,df9,3.172852,6588
93,-0.162308,f5a,3.580933,7297
94,-0.410728,e5b,3.913574,7d3c
95,-0.652671,d64,3.999878,7fff
96,-0.289052,ed8,3.999878,7fff
97,0.079125,051,3.999878,7fff
98,-0.149214,f67,3.999878,7fff
99,-0.375200,e80,3.999878,7fff
